trial,loss_type,surrogate_type,surrogate_slope,optimizer,learning_rate,use_param_transform,grad_clip_norm,polyak_alpha,polyak_beta,temperature,feature_beta,validity_beta,weight_spike_count,tau_ms,weight_subthreshold,warmstart_loss,train_best_loss,train_final_loss,kept_source,kept_loss,improvement,gamma,n_spikes_sim,n_spikes_gt,n_iter,elapsed_s
1723,guarino,superspike,2.080451298687716,polyak,0.004993193024323364,False,,1.078098199111491,0.7268620453712626,0.06397463227740716,18.132535852019753,16.660087890714063,0.0813204958021566,nan,nan,0.6435609459877014,0.4041776657104492,0.42047789692878723,training,0.4041776657104492,0.2393832802772522,-0.04166666666666662,9,9,25,1.9794511795043945
1724,guarino,superspike,0.8314677338419866,polyak,0.0031920329399994824,True,,1.191671615761842,0.33784116694386457,0.28715249674040955,12.909989528596858,10.697917586139168,0.29973735284079844,nan,nan,0.9472301006317139,0.847942590713501,1.7283064126968384,training,0.847942590713501,0.09928750991821289,0.36678200692041524,8,9,25,3.9918508529663086
1725,van_rossum,superspike,2.1331987603553664,polyak,1.1767255491195011e-05,True,,0.014621689024444329,0.39645726625640054,nan,nan,nan,nan,8.76360049196823,0.16058320109492008,2.4110493659973145,3.8572776317596436,11.953490257263184,warmstart,2.4110493659973145,-1.446228265762329,-0.43750000000000006,7,9,25,3.2201740741729736
1726,guarino,superspike,0.8878864681062605,polyak,0.026161141155648156,True,,1.0136864053905692,0.6379356161889506,0.14914902575141553,3.9100266765928406,17.587503063656435,0.05382418458666444,nan,nan,0.5524885058403015,0.7222126722335815,1.0372246503829956,warmstart,0.5524885058403015,-0.16972416639328003,-0.5625,9,9,25,5.687376976013184
1727,van_rossum,superspike,2.8995694424386915,polyak,0.014723799383384448,True,,1.054850911101017,0.5572204594214688,nan,nan,nan,nan,27.076345646320686,0.7759010958512353,3.7142248153686523,6.5814337730407715,5855.93896484375,warmstart,3.7142248153686523,-2.867208957672119,0.1319444444444445,9,9,25,4.804681777954102
1728,guarino,superspike,6.33995813309597,polyak,0.0008540756638476978,False,,1.2901519953665193,0.20863192911070427,0.05103480732567559,3.4792495393760783,6.122590623615825,0.19567331052461853,nan,nan,0.9127033948898315,2.286269187927246,13887.185546875,warmstart,0.9127033948898315,-1.3735657930374146,0.020761245674740504,8,9,25,1.8007500171661377
1729,van_rossum,superspike,1.6266924246592966,polyak,0.07610043137512203,True,,0.012164843804286063,0.006163336151336907,nan,nan,nan,nan,39.6959888341677,0.2811806304757877,2.5343282222747803,2.0390408039093018,2.7796738147735596,training,2.0390408039093018,0.4952874183654785,0.1319444444444445,9,9,25,5.112586975097656
1730,guarino,superspike,7.196448500830123,polyak,0.0013122356285795163,False,,0.6089490691718118,0.19446753795214966,0.47544591137949926,4.2731024968685976,6.039741750299736,0.09728943726292104,nan,nan,0.6095646619796753,0.5090779066085815,0.5090779066085815,training,0.5090779066085815,0.10048675537109375,-0.38888888888888884,9,9,25,1.8611030578613281
1731,van_rossum,superspike,3.27690008922617,polyak,0.00019382150430576474,True,,0.8967697063249009,0.7825043299791973,nan,nan,nan,nan,12.718461073268463,0.7877193148325587,7.1819376945495605,5.684070110321045,5.745934009552002,training,5.684070110321045,1.4978675842285156,0.30555555555555564,9,9,25,2.7063817977905273
1732,van_rossum,superspike,1.02928024408644,polyak,0.009909973055715105,False,,1.1366300762725714,0.6157348446404495,nan,nan,nan,nan,5.205116618466515,0.3102340169289104,2.643132209777832,4.694640636444092,739573.125,warmstart,2.643132209777832,-2.0515084266662598,0.8263888888888888,9,9,25,1.8994641304016113
1733,van_rossum,superspike,11.301727747314358,polyak,0.09363562363157624,True,,0.6798065208476602,0.7660605411220227,nan,nan,nan,nan,3.5136216749233333,0.5405179760141204,6.580809116363525,7.532641887664795,7.570668697357178,warmstart,6.580809116363525,-0.9518327713012695,-0.2637362637362637,4,9,25,1.73368501663208
1734,van_rossum,superspike,0.8679428607007345,polyak,0.0172679026425672,False,,1.328957245895713,0.904721945730014,nan,nan,nan,nan,24.884617001771147,0.13728922317612924,1.8921905755996704,1.9221280813217163,2.1267964839935303,warmstart,1.8921905755996704,-0.0299375057220459,-0.21527777777777773,9,9,25,5.473957061767578
1735,guarino,superspike,4.2136126310470425,polyak,0.028632180926072424,False,,1.130336167250006,0.7490262004073018,0.40550956092947094,16.409917035891826,8.456795999054476,0.10906687278786523,nan,nan,0.7952762842178345,1.0156809091567993,2.216386318206787,warmstart,0.7952762842178345,-0.22040462493896484,0.24561403508771928,10,9,25,1.9299559593200684
1736,guarino,superspike,1.4620296976920761,polyak,0.00012247091583399998,True,,0.19617626353360113,0.48118044100982726,0.1798386781523707,14.055350888932537,3.5673670517062894,0.07419374480866994,nan,nan,0.29703426361083984,0.6362936496734619,214224.40625,warmstart,0.29703426361083984,-0.33925938606262207,-0.5625,9,9,12,2.0322399139404297
1737,guarino,superspike,13.735200488119144,polyak,0.0007314073930832611,True,,0.9236359326263426,0.3498698160781397,0.16915956472377736,3.2444730835740536,8.840370928139732,0.14823081483886325,nan,nan,0.5966657400131226,0.8882546424865723,2746.7041015625,warmstart,0.5966657400131226,-0.2915889024734497,-0.5625,9,9,3,1.8639113903045654
