trial,slope,tau_ms,weight_subthreshold,lr,polyak_alpha,polyak_beta,grad_clip_norm,init_dist,init_C_m,init_g_L,init_v_reset,init_v_T,init_E_L,init_delta_T,final_loss,min_loss,gamma,n_spikes_sim,elapsed_s
756,3.6419895495212335,3.739368591413931,0.12453618318362278,0.03145565577141378,0.0,0.0,0.3467188669184492,0.4460331835622344,92.71042782680821,13.877125055715052,-46.638192643784535,-40.53461911726999,-74.37423460521643,19.568132498965305,4.827735424041748,4.827735424041748,-0.005602240896358641,8,1.0255701541900635
757,9.33865386709693,3.39685710915768,0.29683197200992345,0.038383134479332594,0.0,0.0,0.2148638918897558,0.2874561791810795,148.10493120719087,13.040158794654836,-77.73102971950033,-46.148437013641946,-87.3867647239254,1.716753382196131,6.829013347625732,6.829013347625732,nan,0,0.981813907623291
758,0.9614082535461017,3.3483061345879293,0.019564700969860894,0.012960754221022325,0.0,0.0,0.6096351702627179,0.5206975463838458,29.998956624550605,6.174711392134985,-69.70947484297437,-58.66221926209309,-90.95781418576392,16.442181816085434,nan,12.420284271240234,nan,0,1.0229859352111816
759,4.877311249775879,3.050186466689728,0.27963403451135155,0.008756393264888578,0.0,0.0,0.2432576029450637,0.4025593281150946,151.180855940391,11.390319298373077,-78.89726595116274,-39.01184099360332,-103.42143292776542,6.7503666446172526,9.86382007598877,9.86382007598877,nan,0,2.543386220932007
760,7.259801395169389,3.3055744489826298,0.1504985526196449,0.005532757971303964,0.0,0.0,1.5526680694628618,0.35435838882517295,128.86259583467887,13.439947448105269,-45.0647791069288,-40.43348290946476,-77.18085993226389,11.025964283528603,6.029348850250244,5.880055904388428,-0.02610441767068273,3,1.0207879543304443
761,1.9293131097960037,3.83821932913321,0.15112690133014142,0.019500817872195986,0.0,0.0,0.1596727796720519,0.3035200940933302,163.09428773980724,7.15539340342683,-70.57813577988027,-35.383928412572885,-65.91732395845077,7.136475498593447,5.569035530090332,5.465979099273682,0.1646586345381526,3,1.0166912078857422
762,0.9500531900520777,2.2010440028334166,0.27658930026096273,0.04062931449535689,0.0,0.0,0.34660777947320204,0.23967354385894102,65.44117169145865,7.836144598539348,-63.029746577353016,-54.40583550522236,-80.81765153521876,2.4215764157247692,10.002115249633789,10.002115249633789,0.6206896551724137,20,1.013573169708252
763,1.8129510305660421,2.6315289556921826,0.15219719387792086,0.02381540820363773,0.0,0.0,2.1430943527656914,0.365520049766425,33.84576115642215,8.215474199486405,-52.78948683175501,-51.9177615239497,-88.81324479722667,13.475818874174449,nan,14.696882247924805,nan,0,0.9954257011413574
764,9.228820338541487,2.144909947191744,0.13152212715904463,0.01038050787449781,0.0,0.0,0.6267440883804483,0.18157330565586335,191.364182053784,8.456872169797222,-54.41607060925222,-52.84831489121669,-80.99902062350274,9.56672267509914,6.269928932189941,6.246172904968262,-0.16190476190476188,5,1.08461332321167
765,0.5879679273006724,3.889610343888077,0.0817465776351597,0.021971430249779263,0.0,0.0,0.696506997113387,0.4329778815462549,223.12439845063855,13.856747089769017,-52.90569123083978,-37.113391608914206,-103.8573091089114,13.434815193410376,7.1385087966918945,7.1385087966918945,nan,0,1.0179228782653809
