scenario,delta,direction_idx,gamma,n_spikes_sim
adaptation,0.2,23,0.11363636363636365,3
adaptation,0.2,24,0.5820105820105821,4
adaptation,0.2,25,0.05291005291005289,4
adaptation,0.2,26,0.05291005291005289,4
adaptation,0.2,27,0.5820105820105821,4
adaptation,0.2,28,-0.17045454545454547,3
adaptation,0.2,29,-0.25,5
adaptation,0.4,0,0.5429864253393665,8
adaptation,0.4,1,0.0,5
adaptation,0.4,2,-0.12422360248447205,2
adaptation,0.4,3,-1.0,39
adaptation,0.4,4,0.11363636363636365,3
adaptation,0.4,5,0.05291005291005289,4
adaptation,0.4,6,0.05291005291005289,4
adaptation,0.4,7,0.0,5
adaptation,0.4,8,0.11363636363636365,3
adaptation,0.4,9,0.5820105820105821,4
adaptation,0.4,10,0.19138755980861247,6
adaptation,0.4,11,-0.2678571428571429,11
adaptation,0.4,12,0.18633540372670807,2
adaptation,0.4,13,-0.06944444444444445,1
adaptation,0.4,14,0.09049773755656108,8
adaptation,0.4,15,-0.25,5
adaptation,0.4,16,0.05291005291005289,4
adaptation,0.4,17,0.5820105820105821,4
adaptation,0.4,18,0.5,5
adaptation,0.4,19,-0.25,5
adaptation,0.4,20,-0.17045454545454547,3
adaptation,0.4,21,-0.17045454545454547,3
adaptation,0.4,22,0.11363636363636365,3
adaptation,0.4,23,0.18633540372670807,2
adaptation,0.4,24,0.11363636363636365,3
adaptation,0.4,25,0.05291005291005289,4
adaptation,0.4,26,0.18633540372670807,2
adaptation,0.4,27,-0.17045454545454547,3
adaptation,0.4,28,0.18633540372670807,2
adaptation,0.4,29,0.0,5
adaptation,0.8,0,0.09049773755656108,8
adaptation,0.8,1,-0.0478468899521531,6
adaptation,0.8,2,0.2777777777777778,1
adaptation,0.8,3,-1.0,1709
adaptation,0.8,4,0.18633540372670807,2
adaptation,0.8,5,0.39772727272727276,3
adaptation,0.8,6,-0.21164021164021166,4
adaptation,0.8,7,-0.0478468899521531,6
