scenario_idx,base,method,delta,direction_idx,iter,loss
5,tonic,nm,0.1,5,17,0.1581125259399414
5,tonic,nm,0.1,5,18,0.7806760668754578
5,tonic,nm,0.1,5,19,0.10276045650243759
5,tonic,nm,0.1,5,20,0.438234806060791
5,tonic,nm,0.1,5,21,0.10858957469463348
5,tonic,nm,0.1,5,22,0.33920279145240784
5,tonic,nm,0.1,5,23,0.06806127727031708
5,tonic,nm,0.1,5,24,0.23794421553611755
6,tonic,grad,0.1,6,0,0.38047200441360474
6,tonic,grad,0.1,6,1,0.36283963918685913
6,tonic,grad,0.1,6,2,0.1406969577074051
6,tonic,grad,0.1,6,3,0.17055700719356537
6,tonic,grad,0.1,6,4,0.09952222555875778
6,tonic,grad,0.1,6,5,0.03476734459400177
6,tonic,grad,0.1,6,6,0.06489488482475281
6,tonic,grad,0.1,6,7,0.06549307703971863
6,tonic,grad,0.1,6,8,0.028055202215909958
6,tonic,grad,0.1,6,9,0.026455415412783623
6,tonic,grad,0.1,6,10,0.05465018004179001
6,tonic,grad,0.1,6,11,0.05499756336212158
6,tonic,grad,0.1,6,12,0.03590312600135803
6,tonic,grad,0.1,6,13,0.03642510995268822
6,tonic,grad,0.1,6,14,0.04889751225709915
6,tonic,grad,0.1,6,15,0.04738709330558777
6,tonic,grad,0.1,6,16,0.033663976937532425
6,tonic,grad,0.1,6,17,0.0280187726020813
6,tonic,grad,0.1,6,18,0.03431612625718117
6,tonic,grad,0.1,6,19,0.03699619695544243
6,tonic,grad,0.1,6,20,0.02990034595131874
6,tonic,grad,0.1,6,21,0.024371635168790817
6,tonic,grad,0.1,6,22,0.027584172785282135
6,tonic,grad,0.1,6,23,0.03201790899038315
6,tonic,grad,0.1,6,24,0.03017953783273697
6,tonic,nm,0.1,6,0,0.38047200441360474
6,tonic,nm,0.1,6,1,0.4448353052139282
6,tonic,nm,0.1,6,2,10.911351203918457
6,tonic,nm,0.1,6,3,0.40844064950942993
6,tonic,nm,0.1,6,4,7.4143900871276855
