scenario,method,delta,direction_idx,gamma,n_spikes_sim,n_spikes_gt,init_loss,final_loss,kept_source,n_iter,n_clipped,elapsed_s,param_err_C_m,param_err_g_L,param_err_E_L,param_err_v_T,param_err_delta_T,param_err_v_reset
tonic,grad_guarino,0.2,13,-0.007905138339921132,14,9,8.163869857788086,5.017107963562012,training,500,1,1.9503936767578125,0.1273156207540761,0.039101243019104004,0.0352294921875,0.08502761840820312,0.03789831462659334,0.051207297188895086
tonic,grad_vanrossum,0.2,13,0.18972332015810262,14,9,7.204619884490967,5.634487628936768,training,500,1,3.402740955352783,0.12738912831182064,0.04282534122467041,0.03536359998914931,0.08627120971679687,0.03943219310358951,0.048656136648995534
tonic,nm_guarino,0.2,13,1.0,9,9,3.263718605041504,0.054418064653873444,training,860,1,1.099113941192627,0.13598112463470968,0.05412491171570921,0.11794734767604495,0.07205290962513856,0.051659761245896746,0.003623088903639119
tonic,grad_guarino,0.2,14,0.6527777777777778,9,9,0.43717512488365173,0.3052055239677429,training,500,1,1.9863972663879395,0.13353185239045517,0.01133739948272705,0.10855797661675347,0.05858551025390625,0.04218073895103053,0.07277330671037946
tonic,grad_vanrossum,0.2,14,0.8263888888888888,9,9,4.311193466186523,2.1648318767547607,training,500,1,3.5235021114349365,0.1334217237389606,0.021107792854309082,0.10765482584635416,0.060269775390625,0.043519785529688784,0.07583095005580358
tonic,nm_guarino,0.2,14,1.0,9,9,0.437191367149353,0.04608941078186035,training,632,1,0.9222898483276367,0.11238816765863732,0.013157277245589682,0.04402108233424605,0.10334510633724164,0.04477955528649826,0.07011146471437744
tonic,grad_guarino,0.2,15,0.6206896551724138,20,9,22.47365951538086,14.585142135620117,training,91,1,1.2188727855682373,0.025636092476222828,0.06501436233520508,0.0005055745442708333,0.014578094482421875,0.039640100378739204,0.16754150390625
tonic,grad_vanrossum,0.2,15,0.27586206896551724,20,9,18.528837203979492,14.704873085021973,training,500,1,3.387014865875244,0.025860396675441575,0.07190632820129395,0.0006527370876736111,0.01709930419921875,0.04283717431520161,0.16810291835239954
tonic,nm_guarino,0.2,15,1.0,9,9,5.5734381675720215,0.012958137318491936,training,648,1,0.9431829452514648,0.02921007352828452,0.11342411077095926,0.019419185491544668,0.10352414353026632,0.0509613425893417,0.008603924843356887
tonic,grad_guarino,0.2,16,-0.02807017543859652,6,9,4.234530448913574,2.790238380432129,training,500,0,1.940903902053833,0.09942215629245924,0.017055630683898926,0.06171993679470486,0.064775390625,0.11297389080649928,0.015367780412946428
tonic,grad_vanrossum,0.2,16,0.14736842105263157,6,9,4.530721187591553,3.790757179260254,training,500,0,3.436340808868408,0.10027107570482337,0.04218709468841553,0.06591440836588541,0.0556927490234375,0.1248824721888492,0.022523607526506697
tonic,nm_guarino,0.2,16,1.0,9,9,2.6345484256744385,0.019654573872685432,training,478,0,0.8184421062469482,0.08188024042666311,0.08770296398294519,0.00922904228376006,0.2018645284504302,0.13550705968555293,0.021812498199254144
tonic,grad_guarino,0.2,17,0.8263888888888888,9,9,0.5631440877914429,0.4540828764438629,training,500,1,1.9558031558990479,0.04941160782523777,0.04469478130340576,0.08121083577473959,0.108677978515625,0.04867760131233617,0.11933648245675223
tonic,grad_vanrossum,0.2,17,0.8263888888888888,9,9,2.9395196437835693,1.682580590248108,training,153,1,1.5735199451446533,0.048641569718070654,0.049664855003356934,0.08519524468315973,0.10906524658203125,0.04824379870766088,0.11921615600585937
tonic,nm_guarino,0.2,17,1.0,9,9,0.5630208253860474,0.03498072177171707,training,610,1,0.9106829166412354,0.0960862794242556,0.042815203736892515,0.06902253115828469,0.066228483893467,0.050628209514272375,0.00634802981191943
tonic,grad_guarino,0.2,18,0.020761245674740504,8,9,0.5476019978523254,0.5448628067970276,training,500,0,1.9459240436553955,0.007748280400815218,0.16595065593719482,0.056071302625868055,0.030342559814453125,0.0066717988566348425,0.07320731026785714
tonic,grad_vanrossum,0.2,18,1.0,9,9,3.2930045127868652,0.9876769185066223,training,500,0,3.451246976852417,0.007081736689028533,0.19054770469665527,0.053091939290364584,0.03924072265625,0.01904084180530749,0.06447328839983259
tonic,nm_guarino,0.2,18,1.0,9,9,0.4477046728134155,0.02567712403833866,training,741,0,1.0160939693450928,0.020730988142875988,0.14818137373939022,0.07833180642981669,0.0640006074510336,0.0058645807626256955,0.03501903343189261
tonic,grad_guarino,0.2,19,0.32280701754385965,6,9,2.8012945652008057,2.51912784576416,training,500,0,2.1487300395965576,0.10137833305027173,0.0440831184387207,0.001959567599826389,0.08167724609375,0.0598121818743254,0.0914625985281808
tonic,grad_vanrossum,0.2,19,-0.02807017543859652,6,9,3.8461661338806152,3.832766056060791,training,500,0,3.4909110069274902,0.10185208527938179,0.06432449817657471,0.00429229736328125,0.08854568481445313,0.05028324378164191,0.1018023899623326
tonic,nm_guarino,0.2,19,1.0,9,9,1.9013124704360962,0.01977464370429516,training,539,0,0.8629810810089111,0.15932121821573025,0.04718944720068352,0.06041079561728016,0.009536189090292168,0.036451013133391004,0.02096647721232898
tonic,grad_guarino,0.2,20,0.32280701754385965,6,9,2.608839988708496,2.5279951095581055,training,500,1,1.976747989654541,0.07957730500594429,0.046209096908569336,0.0022176106770833335,0.104754638671875,0.060321186718187834,0.08319822038922992
tonic,grad_vanrossum,0.2,20,0.08333333333333325,7,9,3.8320693969726562,3.370089530944824,training,500,1,3.4449703693389893,0.07928174889605978,0.041944265365600586,0.003912692599826389,0.1031695556640625,0.06405293941497803,0.08526970999581474
tonic,nm_guarino,0.2,20,1.0,9,9,1.708865761756897,0.009157776832580566,training,911,1,1.1527070999145508,0.07808942947617183,0.08476592360797675,0.02267587342571302,0.026748826536954765,0.05119710164770723,0.014561750966366763
tonic,grad_guarino,0.2,21,0.19377162629757788,8,9,1.4179342985153198,0.5542564392089844,training,500,0,2.0424630641937256,0.06270095161769701,0.19547510147094727,0.052825249565972225,0.046244659423828126,0.029943610492505525,0.09973994663783482
tonic,grad_vanrossum,0.2,21,1.0,9,9,3.649012804031372,1.4497475624084473,training,500,0,3.3964598178863525,0.06374538255774456,0.23008203506469727,0.04783681233723958,0.03439849853515625,0.04604131924478631,0.1004544939313616
tonic,nm_guarino,0.2,21,1.0,9,9,1.017972469329834,0.018468758091330528,training,552,0,0.8624899387359619,0.05514824873358612,0.13371424965845602,0.07825399345009916,0.002679500759241762,0.0042003559709354,0.005862192842632347
